"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 22:25:13 GMT 2023","Tue Feb 07 22:25:14 GMT 2023","1190","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Feb 07 22:25:17 GMT 2023","Tue Feb 07 22:25:17 GMT 2023","147","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 22:25:15 GMT 2023","Tue Feb 07 22:25:15 GMT 2023","167","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Feb 07 22:25:15 GMT 2023","Tue Feb 07 22:25:16 GMT 2023","174","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Tue Feb 07 22:25:15 GMT 2023","Tue Feb 07 22:25:15 GMT 2023","167","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Tue Feb 07 22:25:17 GMT 2023","Tue Feb 07 22:25:17 GMT 2023","113","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 22:25:16 GMT 2023","Tue Feb 07 22:25:16 GMT 2023","93","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Tue Feb 07 22:25:15 GMT 2023","Tue Feb 07 22:25:15 GMT 2023","268","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Feb 07 22:25:16 GMT 2023","Tue Feb 07 22:25:16 GMT 2023","65","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 22:25:16 GMT 2023","Tue Feb 07 22:25:16 GMT 2023","471","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Tue Feb 07 22:25:16 GMT 2023","Tue Feb 07 22:25:17 GMT 2023","116","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 22:25:15 GMT 2023","Tue Feb 07 22:25:15 GMT 2023","231","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Feb 07 22:25:14 GMT 2023","Tue Feb 07 22:25:14 GMT 2023","163","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Feb 07 22:25:16 GMT 2023","Tue Feb 07 22:25:16 GMT 2023","85","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 22:25:14 GMT 2023","Tue Feb 07 22:25:15 GMT 2023","113","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
