"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","113","Verify response schema is correct","","Sat Dec 07 01:46:46 GMT 2024","passed","Sat Dec 07 01:46:46 GMT 2024","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","92","Verify status code returned is expected","","Sat Dec 07 01:46:46 GMT 2024","passed","Sat Dec 07 01:46:46 GMT 2024","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","114","Verify response schema is correct","","Sat Dec 07 01:46:47 GMT 2024","passed","Sat Dec 07 01:46:47 GMT 2024","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","100","Verify response schema is correct","","Sat Dec 07 01:46:47 GMT 2024","passed","Sat Dec 07 01:46:47 GMT 2024","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1071","Verify status code returned is expected","","Sat Dec 07 01:46:45 GMT 2024","passed","Sat Dec 07 01:46:46 GMT 2024","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","71","Verify status code returned is expected","","Sat Dec 07 01:46:47 GMT 2024","passed","Sat Dec 07 01:46:47 GMT 2024","","Users Endpoint","Verify status code returned is expected",""
