"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","103","Verify response schema is correct","","Wed Apr 02 01:49:00 GMT 2025","passed","Wed Apr 02 01:49:00 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","122","Verify status code returned is expected","","Wed Apr 02 01:49:00 GMT 2025","passed","Wed Apr 02 01:49:00 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1005","Verify status code returned is expected","","Wed Apr 02 01:48:59 GMT 2025","passed","Wed Apr 02 01:49:00 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","119","Verify response schema is correct","","Wed Apr 02 01:49:01 GMT 2025","passed","Wed Apr 02 01:49:01 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","468","Verify status code returned is expected","","Wed Apr 02 01:49:00 GMT 2025","passed","Wed Apr 02 01:49:01 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","158","Verify response schema is correct","","Wed Apr 02 01:49:00 GMT 2025","passed","Wed Apr 02 01:49:00 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
