"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 01 01:47:55 GMT 2024","Tue Oct 01 01:47:55 GMT 2024","97","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Oct 01 01:47:55 GMT 2024","Tue Oct 01 01:47:55 GMT 2024","110","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Oct 01 01:47:55 GMT 2024","Tue Oct 01 01:47:55 GMT 2024","54","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Oct 01 01:47:55 GMT 2024","Tue Oct 01 01:47:55 GMT 2024","93","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Oct 01 01:47:55 GMT 2024","Tue Oct 01 01:47:55 GMT 2024","77","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Oct 01 01:47:53 GMT 2024","Tue Oct 01 01:47:55 GMT 2024","1108","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
