"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","86","Verify status code returned is expected","","Mon Mar 09 03:58:43 UTC 2026","passed","Mon Mar 09 03:58:43 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","99","Verify status code returned is expected","","Mon Mar 09 03:58:43 UTC 2026","passed","Mon Mar 09 03:58:43 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","75","Verify there is a user with a given zipcode","","Mon Mar 09 03:58:44 UTC 2026","passed","Mon Mar 09 03:58:44 UTC 2026","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","94","Verify amount of returned items is expected","","Mon Mar 09 03:58:43 UTC 2026","passed","Mon Mar 09 03:58:43 UTC 2026","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","109","Verify response schema is correct","","Mon Mar 09 03:58:42 UTC 2026","passed","Mon Mar 09 03:58:42 UTC 2026","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","74","Verify there is a user with a given zipcode","","Mon Mar 09 03:58:44 UTC 2026","passed","Mon Mar 09 03:58:44 UTC 2026","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1076","Verify status code returned is expected","","Mon Mar 09 03:58:41 UTC 2026","passed","Mon Mar 09 03:58:42 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","391","Verify specific user is returned in the users response","","Mon Mar 09 03:58:43 UTC 2026","passed","Mon Mar 09 03:58:44 UTC 2026","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","104","Verify amount of returned items is expected","","Mon Mar 09 03:58:43 UTC 2026","passed","Mon Mar 09 03:58:43 UTC 2026","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","60","Verify amount of returned items is expected","","Mon Mar 09 03:58:43 UTC 2026","passed","Mon Mar 09 03:58:43 UTC 2026","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","77","Verify response schema is correct","","Mon Mar 09 03:58:43 UTC 2026","passed","Mon Mar 09 03:58:43 UTC 2026","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","86","Verify response schema is correct","","Mon Mar 09 03:58:43 UTC 2026","passed","Mon Mar 09 03:58:43 UTC 2026","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","88","Verify specific user is returned in the users response","","Mon Mar 09 03:58:44 UTC 2026","passed","Mon Mar 09 03:58:44 UTC 2026","","Users Endpoint","Verify specific user is returned in the users response",""
