"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 02:26:01 GMT 2023","Mon Jul 24 02:26:01 GMT 2023","133","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jul 24 02:26:02 GMT 2023","Mon Jul 24 02:26:02 GMT 2023","107","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 24 02:26:03 GMT 2023","Mon Jul 24 02:26:03 GMT 2023","128","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 24 02:26:02 GMT 2023","Mon Jul 24 02:26:02 GMT 2023","149","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jul 24 02:25:59 GMT 2023","Mon Jul 24 02:26:00 GMT 2023","1387","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jul 24 02:26:02 GMT 2023","Mon Jul 24 02:26:03 GMT 2023","587","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Jul 24 02:26:03 GMT 2023","Mon Jul 24 02:26:03 GMT 2023","152","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 24 02:26:01 GMT 2023","Mon Jul 24 02:26:02 GMT 2023","239","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jul 24 02:26:01 GMT 2023","Mon Jul 24 02:26:01 GMT 2023","157","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon Jul 24 02:26:03 GMT 2023","Mon Jul 24 02:26:03 GMT 2023","141","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Jul 24 02:26:01 GMT 2023","Mon Jul 24 02:26:01 GMT 2023","201","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jul 24 02:26:02 GMT 2023","Mon Jul 24 02:26:02 GMT 2023","103","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon Jul 24 02:26:01 GMT 2023","Mon Jul 24 02:26:01 GMT 2023","284","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jul 24 02:26:02 GMT 2023","Mon Jul 24 02:26:02 GMT 2023","59","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 24 02:26:02 GMT 2023","Mon Jul 24 02:26:02 GMT 2023","99","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
