"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","98","Verify status code returned is expected","","Sun Jan 18 02:21:10 UTC 2026","passed","Sun Jan 18 02:21:11 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","96","Verify response schema is correct","","Sun Jan 18 02:21:11 UTC 2026","passed","Sun Jan 18 02:21:11 UTC 2026","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1202","Verify status code returned is expected","","Sun Jan 18 02:21:09 UTC 2026","passed","Sun Jan 18 02:21:10 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","129","Verify response schema is correct","","Sun Jan 18 02:21:11 UTC 2026","passed","Sun Jan 18 02:21:11 UTC 2026","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","129","Verify response schema is correct","","Sun Jan 18 02:21:10 UTC 2026","passed","Sun Jan 18 02:21:10 UTC 2026","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","84","Verify status code returned is expected","","Sun Jan 18 02:21:11 UTC 2026","passed","Sun Jan 18 02:21:11 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
