"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1141","Verify status code returned is expected","","Tue Jun 30 04:04:37 UTC 2026","passed","Tue Jun 30 04:04:38 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","95","Verify response schema is correct","","Tue Jun 30 04:04:38 UTC 2026","passed","Tue Jun 30 04:04:38 UTC 2026","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","72","Verify status code returned is expected","","Tue Jun 30 04:04:38 UTC 2026","passed","Tue Jun 30 04:04:38 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","81","Verify response schema is correct","","Tue Jun 30 04:04:38 UTC 2026","passed","Tue Jun 30 04:04:38 UTC 2026","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","64","Verify status code returned is expected","","Tue Jun 30 04:04:38 UTC 2026","passed","Tue Jun 30 04:04:38 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","103","Verify response schema is correct","","Tue Jun 30 04:04:38 UTC 2026","passed","Tue Jun 30 04:04:38 UTC 2026","","Todos Endpoint","Verify response schema is correct",""
