"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","130","Verify response schema is correct","","Tue Dec 16 02:03:04 UTC 2025","passed","Tue Dec 16 02:03:04 UTC 2025","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1144","Verify status code returned is expected","","Tue Dec 16 02:03:03 UTC 2025","passed","Tue Dec 16 02:03:04 UTC 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","74","Verify status code returned is expected","","Tue Dec 16 02:03:04 UTC 2025","passed","Tue Dec 16 02:03:05 UTC 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","112","Verify response schema is correct","","Tue Dec 16 02:03:04 UTC 2025","passed","Tue Dec 16 02:03:04 UTC 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","86","Verify response schema is correct","","Tue Dec 16 02:03:05 UTC 2025","passed","Tue Dec 16 02:03:05 UTC 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","106","Verify status code returned is expected","","Tue Dec 16 02:03:04 UTC 2025","passed","Tue Dec 16 02:03:04 UTC 2025","","Todos Endpoint","Verify status code returned is expected",""
