"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","66","Verify status code returned is expected","","Wed Jul 01 04:20:37 UTC 2026","passed","Wed Jul 01 04:20:37 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","99","Verify response schema is correct","","Wed Jul 01 04:20:37 UTC 2026","passed","Wed Jul 01 04:20:37 UTC 2026","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","84","Verify status code returned is expected","","Wed Jul 01 04:20:36 UTC 2026","passed","Wed Jul 01 04:20:37 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","106","Verify response schema is correct","","Wed Jul 01 04:20:36 UTC 2026","passed","Wed Jul 01 04:20:36 UTC 2026","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","61","Verify response schema is correct","","Wed Jul 01 04:20:37 UTC 2026","passed","Wed Jul 01 04:20:37 UTC 2026","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1190","Verify status code returned is expected","","Wed Jul 01 04:20:35 UTC 2026","passed","Wed Jul 01 04:20:36 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
