"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 03 02:48:43 GMT 2023","Mon Jul 03 02:48:43 GMT 2023","172","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jul 03 02:48:42 GMT 2023","Mon Jul 03 02:48:43 GMT 2023","177","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jul 03 02:48:44 GMT 2023","Mon Jul 03 02:48:44 GMT 2023","174","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon Jul 03 02:48:43 GMT 2023","Mon Jul 03 02:48:43 GMT 2023","329","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon Jul 03 02:48:45 GMT 2023","Mon Jul 03 02:48:45 GMT 2023","136","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 03 02:48:44 GMT 2023","Mon Jul 03 02:48:44 GMT 2023","117","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 03 02:48:44 GMT 2023","Mon Jul 03 02:48:44 GMT 2023","89","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Jul 03 02:48:43 GMT 2023","Mon Jul 03 02:48:43 GMT 2023","211","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jul 03 02:48:41 GMT 2023","Mon Jul 03 02:48:42 GMT 2023","1188","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jul 03 02:48:44 GMT 2023","Mon Jul 03 02:48:45 GMT 2023","573","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 03 02:48:45 GMT 2023","Mon Jul 03 02:48:45 GMT 2023","150","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 03 02:48:44 GMT 2023","Mon Jul 03 02:48:44 GMT 2023","138","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Jul 03 02:48:45 GMT 2023","Mon Jul 03 02:48:45 GMT 2023","137","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jul 03 02:48:44 GMT 2023","Mon Jul 03 02:48:44 GMT 2023","143","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jul 03 02:48:43 GMT 2023","Mon Jul 03 02:48:44 GMT 2023","238","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
