"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","131","Verify response schema is correct","","Wed Jan 22 01:39:19 GMT 2025","passed","Wed Jan 22 01:39:19 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","103","Verify status code returned is expected","","Wed Jan 22 01:39:18 GMT 2025","passed","Wed Jan 22 01:39:19 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","75","Verify status code returned is expected","","Wed Jan 22 01:39:19 GMT 2025","passed","Wed Jan 22 01:39:19 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","73","Verify response schema is correct","","Wed Jan 22 01:39:19 GMT 2025","passed","Wed Jan 22 01:39:19 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","131","Verify response schema is correct","","Wed Jan 22 01:39:18 GMT 2025","passed","Wed Jan 22 01:39:18 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1130","Verify status code returned is expected","","Wed Jan 22 01:39:17 GMT 2025","passed","Wed Jan 22 01:39:18 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
