"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","58","Verify response schema is correct","","Sat Jan 10 02:02:55 UTC 2026","passed","Sat Jan 10 02:02:55 UTC 2026","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","101","Verify response schema is correct","","Sat Jan 10 02:02:54 UTC 2026","passed","Sat Jan 10 02:02:54 UTC 2026","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","53","Verify status code returned is expected","","Sat Jan 10 02:02:55 UTC 2026","passed","Sat Jan 10 02:02:55 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","96","Verify response schema is correct","","Sat Jan 10 02:02:54 UTC 2026","passed","Sat Jan 10 02:02:55 UTC 2026","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","86","Verify status code returned is expected","","Sat Jan 10 02:02:54 UTC 2026","passed","Sat Jan 10 02:02:54 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1168","Verify status code returned is expected","","Sat Jan 10 02:02:53 UTC 2026","passed","Sat Jan 10 02:02:54 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
