"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","73","Verify there is a user with a given zipcode","","Mon Jan 13 02:43:17 GMT 2025","passed","Mon Jan 13 02:43:17 GMT 2025","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","73","Verify response schema is correct","","Mon Jan 13 02:43:17 GMT 2025","passed","Mon Jan 13 02:43:17 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","89","Verify response schema is correct","","Mon Jan 13 02:43:16 GMT 2025","passed","Mon Jan 13 02:43:16 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","99","Verify amount of returned items is expected","","Mon Jan 13 02:43:16 GMT 2025","passed","Mon Jan 13 02:43:16 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","402","Verify specific user is returned in the users response","","Mon Jan 13 02:43:17 GMT 2025","passed","Mon Jan 13 02:43:17 GMT 2025","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","84","Verify amount of returned items is expected","","Mon Jan 13 02:43:16 GMT 2025","passed","Mon Jan 13 02:43:16 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","61","Verify amount of returned items is expected","","Mon Jan 13 02:43:17 GMT 2025","passed","Mon Jan 13 02:43:17 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1143","Verify status code returned is expected","","Mon Jan 13 02:43:15 GMT 2025","passed","Mon Jan 13 02:43:16 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","95","Verify status code returned is expected","","Mon Jan 13 02:43:16 GMT 2025","passed","Mon Jan 13 02:43:16 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","58","Verify status code returned is expected","","Mon Jan 13 02:43:16 GMT 2025","passed","Mon Jan 13 02:43:17 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","70","Verify there is a user with a given zipcode","","Mon Jan 13 02:43:17 GMT 2025","passed","Mon Jan 13 02:43:17 GMT 2025","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","81","Verify specific user is returned in the users response","","Mon Jan 13 02:43:17 GMT 2025","passed","Mon Jan 13 02:43:17 GMT 2025","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","109","Verify response schema is correct","","Mon Jan 13 02:43:16 GMT 2025","passed","Mon Jan 13 02:43:16 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
