"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","233","Verify response schema is correct","","Thu Mar 13 01:45:50 GMT 2025","passed","Thu Mar 13 01:45:51 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1202","Verify status code returned is expected","","Thu Mar 13 01:45:49 GMT 2025","passed","Thu Mar 13 01:45:50 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","211","Verify response schema is correct","","Thu Mar 13 01:45:51 GMT 2025","passed","Thu Mar 13 01:45:51 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","166","Verify status code returned is expected","","Thu Mar 13 01:45:51 GMT 2025","passed","Thu Mar 13 01:45:51 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","150","Verify status code returned is expected","","Thu Mar 13 01:45:51 GMT 2025","passed","Thu Mar 13 01:45:51 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","160","Verify response schema is correct","","Thu Mar 13 01:45:51 GMT 2025","passed","Thu Mar 13 01:45:51 GMT 2025","","Users Endpoint","Verify response schema is correct",""
