"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","62","Verify status code returned is expected","","Wed Jul 30 02:10:07 GMT 2025","passed","Wed Jul 30 02:10:07 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","88","Verify response schema is correct","","Wed Jul 30 02:10:07 GMT 2025","passed","Wed Jul 30 02:10:07 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","62","Verify response schema is correct","","Wed Jul 30 02:10:07 GMT 2025","passed","Wed Jul 30 02:10:07 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1078","Verify status code returned is expected","","Wed Jul 30 02:10:06 GMT 2025","passed","Wed Jul 30 02:10:07 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","77","Verify status code returned is expected","","Wed Jul 30 02:10:07 GMT 2025","passed","Wed Jul 30 02:10:07 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","91","Verify response schema is correct","","Wed Jul 30 02:10:07 GMT 2025","passed","Wed Jul 30 02:10:07 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
