"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1068","Verify status code returned is expected","","Fri Aug 01 02:26:38 GMT 2025","passed","Fri Aug 01 02:26:39 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","72","Verify response schema is correct","","Fri Aug 01 02:26:40 GMT 2025","passed","Fri Aug 01 02:26:40 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","108","Verify response schema is correct","","Fri Aug 01 02:26:39 GMT 2025","passed","Fri Aug 01 02:26:39 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","76","Verify status code returned is expected","","Fri Aug 01 02:26:39 GMT 2025","passed","Fri Aug 01 02:26:40 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","106","Verify response schema is correct","","Fri Aug 01 02:26:40 GMT 2025","passed","Fri Aug 01 02:26:40 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","71","Verify status code returned is expected","","Fri Aug 01 02:26:40 GMT 2025","passed","Fri Aug 01 02:26:40 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
