"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 17:46:01 GMT 2023","Tue Feb 07 17:46:01 GMT 2023","119","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Feb 07 17:46:00 GMT 2023","Tue Feb 07 17:46:00 GMT 2023","112","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Feb 07 17:45:59 GMT 2023","Tue Feb 07 17:46:00 GMT 2023","1226","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Tue Feb 07 17:46:02 GMT 2023","Tue Feb 07 17:46:03 GMT 2023","139","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 17:46:01 GMT 2023","Tue Feb 07 17:46:01 GMT 2023","94","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 17:46:01 GMT 2023","Tue Feb 07 17:46:01 GMT 2023","123","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Feb 07 17:46:01 GMT 2023","Tue Feb 07 17:46:02 GMT 2023","97","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Tue Feb 07 17:46:00 GMT 2023","Tue Feb 07 17:46:01 GMT 2023","240","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Feb 07 17:46:01 GMT 2023","Tue Feb 07 17:46:01 GMT 2023","179","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Tue Feb 07 17:46:00 GMT 2023","Tue Feb 07 17:46:00 GMT 2023","173","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Tue Feb 07 17:46:00 GMT 2023","Tue Feb 07 17:46:00 GMT 2023","150","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Tue Feb 07 17:46:02 GMT 2023","Tue Feb 07 17:46:02 GMT 2023","126","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 17:46:02 GMT 2023","Tue Feb 07 17:46:02 GMT 2023","578","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Tue Feb 07 17:46:02 GMT 2023","Tue Feb 07 17:46:02 GMT 2023","115","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Tue Feb 07 17:46:01 GMT 2023","Tue Feb 07 17:46:01 GMT 2023","69","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
