"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 02:42:09 GMT 2024","Mon Sep 16 02:42:09 GMT 2024","65","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Sep 16 02:42:09 GMT 2024","Mon Sep 16 02:42:09 GMT 2024","71","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Sep 16 02:42:08 GMT 2024","Mon Sep 16 02:42:08 GMT 2024","87","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Sep 16 02:42:09 GMT 2024","Mon Sep 16 02:42:09 GMT 2024","58","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Sep 16 02:42:08 GMT 2024","Mon Sep 16 02:42:08 GMT 2024","103","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Sep 16 02:42:08 GMT 2024","Mon Sep 16 02:42:08 GMT 2024","96","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Sep 16 02:42:08 GMT 2024","Mon Sep 16 02:42:09 GMT 2024","84","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Sep 16 02:42:09 GMT 2024","Mon Sep 16 02:42:09 GMT 2024","419","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Sep 16 02:42:08 GMT 2024","Mon Sep 16 02:42:08 GMT 2024","94","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Sep 16 02:42:07 GMT 2024","Mon Sep 16 02:42:08 GMT 2024","1115","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Sep 16 02:42:09 GMT 2024","Mon Sep 16 02:42:09 GMT 2024","69","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Sep 16 02:42:09 GMT 2024","Mon Sep 16 02:42:09 GMT 2024","52","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Sep 16 02:42:09 GMT 2024","Mon Sep 16 02:42:09 GMT 2024","97","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
