"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1190","Verify status code returned is expected","","Fri Jun 27 02:00:36 GMT 2025","passed","Fri Jun 27 02:00:37 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","99","Verify status code returned is expected","","Fri Jun 27 02:00:37 GMT 2025","passed","Fri Jun 27 02:00:37 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","97","Verify response schema is correct","","Fri Jun 27 02:00:37 GMT 2025","passed","Fri Jun 27 02:00:37 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","77","Verify status code returned is expected","","Fri Jun 27 02:00:37 GMT 2025","passed","Fri Jun 27 02:00:37 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","128","Verify response schema is correct","","Fri Jun 27 02:00:37 GMT 2025","passed","Fri Jun 27 02:00:37 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","132","Verify response schema is correct","","Fri Jun 27 02:00:37 GMT 2025","passed","Fri Jun 27 02:00:37 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
