"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","123","Verify specific user is returned in the users response","","Mon Dec 01 03:26:02 UTC 2025","passed","Mon Dec 01 03:26:02 UTC 2025","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","445","Verify specific user is returned in the users response","","Mon Dec 01 03:26:02 UTC 2025","passed","Mon Dec 01 03:26:02 UTC 2025","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","79","Verify there is a user with a given zipcode","","Mon Dec 01 03:26:03 UTC 2025","passed","Mon Dec 01 03:26:03 UTC 2025","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","125","Verify response schema is correct","","Mon Dec 01 03:26:01 UTC 2025","passed","Mon Dec 01 03:26:01 UTC 2025","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","106","Verify status code returned is expected","","Mon Dec 01 03:26:01 UTC 2025","passed","Mon Dec 01 03:26:02 UTC 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","110","Verify there is a user with a given zipcode","","Mon Dec 01 03:26:02 UTC 2025","passed","Mon Dec 01 03:26:03 UTC 2025","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","121","Verify amount of returned items is expected","","Mon Dec 01 03:26:01 UTC 2025","passed","Mon Dec 01 03:26:01 UTC 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","121","Verify response schema is correct","","Mon Dec 01 03:26:02 UTC 2025","passed","Mon Dec 01 03:26:02 UTC 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","113","Verify response schema is correct","","Mon Dec 01 03:26:01 UTC 2025","passed","Mon Dec 01 03:26:01 UTC 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","124","Verify status code returned is expected","","Mon Dec 01 03:26:01 UTC 2025","passed","Mon Dec 01 03:26:01 UTC 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1114","Verify status code returned is expected","","Mon Dec 01 03:26:00 UTC 2025","passed","Mon Dec 01 03:26:01 UTC 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","112","Verify amount of returned items is expected","","Mon Dec 01 03:26:01 UTC 2025","passed","Mon Dec 01 03:26:01 UTC 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","92","Verify amount of returned items is expected","","Mon Dec 01 03:26:02 UTC 2025","passed","Mon Dec 01 03:26:02 UTC 2025","","Users Endpoint","Verify amount of returned items is expected",""
