"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 17 02:21:40 GMT 2023","Mon Apr 17 02:21:40 GMT 2023","123","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Apr 17 02:21:39 GMT 2023","Mon Apr 17 02:21:39 GMT 2023","139","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Apr 17 02:21:39 GMT 2023","Mon Apr 17 02:21:39 GMT 2023","104","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Apr 17 02:21:40 GMT 2023","Mon Apr 17 02:21:40 GMT 2023","84","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Apr 17 02:21:38 GMT 2023","Mon Apr 17 02:21:39 GMT 2023","1119","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Apr 17 02:21:41 GMT 2023","Mon Apr 17 02:21:41 GMT 2023","98","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Apr 17 02:21:40 GMT 2023","Mon Apr 17 02:21:40 GMT 2023","140","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon Apr 17 02:21:39 GMT 2023","Mon Apr 17 02:21:40 GMT 2023","255","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Apr 17 02:21:40 GMT 2023","Mon Apr 17 02:21:40 GMT 2023","105","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Apr 17 02:21:40 GMT 2023","Mon Apr 17 02:21:40 GMT 2023","62","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Apr 17 02:21:40 GMT 2023","Mon Apr 17 02:21:41 GMT 2023","442","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Apr 17 02:21:41 GMT 2023","Mon Apr 17 02:21:41 GMT 2023","97","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Apr 17 02:21:40 GMT 2023","Mon Apr 17 02:21:40 GMT 2023","114","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon Apr 17 02:21:41 GMT 2023","Mon Apr 17 02:21:41 GMT 2023","92","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Apr 17 02:21:39 GMT 2023","Mon Apr 17 02:21:39 GMT 2023","193","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
