"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","63","Verify response schema is correct","","Wed Jan 01 01:47:20 GMT 2025","passed","Wed Jan 01 01:47:20 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","55","Verify status code returned is expected","","Wed Jan 01 01:47:20 GMT 2025","passed","Wed Jan 01 01:47:20 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","106","Verify response schema is correct","","Wed Jan 01 01:47:20 GMT 2025","passed","Wed Jan 01 01:47:20 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","112","Verify response schema is correct","","Wed Jan 01 01:47:20 GMT 2025","passed","Wed Jan 01 01:47:20 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","80","Verify status code returned is expected","","Wed Jan 01 01:47:20 GMT 2025","passed","Wed Jan 01 01:47:20 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1093","Verify status code returned is expected","","Wed Jan 01 01:47:19 GMT 2025","passed","Wed Jan 01 01:47:20 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
