"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 20 02:33:28 GMT 2023","Mon Mar 20 02:33:28 GMT 2023","142","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon Mar 20 02:33:27 GMT 2023","Mon Mar 20 02:33:28 GMT 2023","198","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Mar 20 02:33:27 GMT 2023","Mon Mar 20 02:33:27 GMT 2023","184","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Mar 20 02:33:29 GMT 2023","Mon Mar 20 02:33:29 GMT 2023","105","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 20 02:33:29 GMT 2023","Mon Mar 20 02:33:29 GMT 2023","106","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Mar 20 02:33:30 GMT 2023","Mon Mar 20 02:33:30 GMT 2023","139","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 20 02:33:29 GMT 2023","Mon Mar 20 02:33:29 GMT 2023","561","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 20 02:33:28 GMT 2023","Mon Mar 20 02:33:28 GMT 2023","219","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Mar 20 02:33:30 GMT 2023","Mon Mar 20 02:33:30 GMT 2023","111","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 20 02:33:28 GMT 2023","Mon Mar 20 02:33:29 GMT 2023","184","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Mar 20 02:33:27 GMT 2023","Mon Mar 20 02:33:27 GMT 2023","148","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Mar 20 02:33:26 GMT 2023","Mon Mar 20 02:33:27 GMT 2023","1078","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon Mar 20 02:33:28 GMT 2023","Mon Mar 20 02:33:28 GMT 2023","236","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon Mar 20 02:33:29 GMT 2023","Mon Mar 20 02:33:30 GMT 2023","144","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Mar 20 02:33:29 GMT 2023","Mon Mar 20 02:33:29 GMT 2023","116","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
