"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","98","Verify status code returned is expected","","Sun Dec 21 02:09:04 UTC 2025","passed","Sun Dec 21 02:09:04 UTC 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1178","Verify status code returned is expected","","Sun Dec 21 02:09:02 UTC 2025","passed","Sun Dec 21 02:09:03 UTC 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","127","Verify response schema is correct","","Sun Dec 21 02:09:03 UTC 2025","passed","Sun Dec 21 02:09:04 UTC 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","116","Verify status code returned is expected","","Sun Dec 21 02:09:03 UTC 2025","passed","Sun Dec 21 02:09:03 UTC 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","111","Verify response schema is correct","","Sun Dec 21 02:09:04 UTC 2025","passed","Sun Dec 21 02:09:04 UTC 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","136","Verify response schema is correct","","Sun Dec 21 02:09:03 UTC 2025","passed","Sun Dec 21 02:09:03 UTC 2025","","Posts Endpoint","Verify response schema is correct",""
