"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","71","Verify response schema is correct","","Wed Jun 24 04:02:15 UTC 2026","passed","Wed Jun 24 04:02:15 UTC 2026","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1138","Verify status code returned is expected","","Wed Jun 24 04:02:13 UTC 2026","passed","Wed Jun 24 04:02:14 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","54","Verify status code returned is expected","","Wed Jun 24 04:02:15 UTC 2026","passed","Wed Jun 24 04:02:15 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","108","Verify response schema is correct","","Wed Jun 24 04:02:14 UTC 2026","passed","Wed Jun 24 04:02:14 UTC 2026","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","109","Verify response schema is correct","","Wed Jun 24 04:02:15 UTC 2026","passed","Wed Jun 24 04:02:15 UTC 2026","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","83","Verify status code returned is expected","","Wed Jun 24 04:02:14 UTC 2026","passed","Wed Jun 24 04:02:15 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
