"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 02:05:29 GMT 2023","Mon Oct 23 02:05:29 GMT 2023","68","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Oct 23 02:05:30 GMT 2023","Mon Oct 23 02:05:30 GMT 2023","122","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Oct 23 02:05:30 GMT 2023","Mon Oct 23 02:05:30 GMT 2023","124","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Oct 23 02:05:29 GMT 2023","Mon Oct 23 02:05:29 GMT 2023","148","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Oct 23 02:05:29 GMT 2023","Mon Oct 23 02:05:29 GMT 2023","74","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Oct 23 02:05:29 GMT 2023","Mon Oct 23 02:05:30 GMT 2023","652","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Oct 23 02:05:28 GMT 2023","Mon Oct 23 02:05:28 GMT 2023","272","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Oct 23 02:05:28 GMT 2023","Mon Oct 23 02:05:28 GMT 2023","107","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Oct 23 02:05:29 GMT 2023","Mon Oct 23 02:05:29 GMT 2023","71","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Oct 23 02:05:28 GMT 2023","Mon Oct 23 02:05:29 GMT 2023","202","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Oct 23 02:05:28 GMT 2023","Mon Oct 23 02:05:28 GMT 2023","172","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Oct 23 02:05:30 GMT 2023","Mon Oct 23 02:05:30 GMT 2023","121","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Oct 23 02:05:29 GMT 2023","Mon Oct 23 02:05:29 GMT 2023","197","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon Oct 23 02:05:28 GMT 2023","Mon Oct 23 02:05:28 GMT 2023","158","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Oct 23 02:05:26 GMT 2023","Mon Oct 23 02:05:27 GMT 2023","1200","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
