"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 08 02:11:28 GMT 2024","Mon Jan 08 02:11:28 GMT 2024","117","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jan 08 02:11:28 GMT 2024","Mon Jan 08 02:11:28 GMT 2024","91","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jan 08 02:11:29 GMT 2024","Mon Jan 08 02:11:29 GMT 2024","180","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jan 08 02:11:29 GMT 2024","Mon Jan 08 02:11:29 GMT 2024","92","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon Jan 08 02:11:30 GMT 2024","Mon Jan 08 02:11:30 GMT 2024","83","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jan 08 02:11:29 GMT 2024","Mon Jan 08 02:11:29 GMT 2024","53","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jan 08 02:11:29 GMT 2024","Mon Jan 08 02:11:29 GMT 2024","146","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon Jan 08 02:11:29 GMT 2024","Mon Jan 08 02:11:29 GMT 2024","48","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jan 08 02:11:29 GMT 2024","Mon Jan 08 02:11:30 GMT 2024","389","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Jan 08 02:11:30 GMT 2024","Mon Jan 08 02:11:30 GMT 2024","92","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jan 08 02:11:29 GMT 2024","Mon Jan 08 02:11:29 GMT 2024","62","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon Jan 08 02:11:27 GMT 2024","Mon Jan 08 02:11:28 GMT 2024","1076","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon Jan 08 02:11:30 GMT 2024","Mon Jan 08 02:11:30 GMT 2024","88","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon Jan 08 02:11:28 GMT 2024","Mon Jan 08 02:11:29 GMT 2024","166","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon Jan 08 02:11:28 GMT 2024","Mon Jan 08 02:11:28 GMT 2024","114","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
