"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1096","Verify status code returned is expected","","Mon May 12 03:04:15 GMT 2025","passed","Mon May 12 03:04:16 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","54","Verify amount of returned items is expected","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","65","Verify response schema is correct","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","70","Verify there is a user with a given zipcode","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:18 GMT 2025","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","74","Verify status code returned is expected","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","117","Verify amount of returned items is expected","","Mon May 12 03:04:16 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","57","Verify there is a user with a given zipcode","","Mon May 12 03:04:18 GMT 2025","passed","Mon May 12 03:04:18 GMT 2025","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","94","Verify response schema is correct","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","72","Verify specific user is returned in the users response","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","375","Verify specific user is returned in the users response","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","59","Verify status code returned is expected","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","69","Verify amount of returned items is expected","","Mon May 12 03:04:17 GMT 2025","passed","Mon May 12 03:04:17 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","93","Verify response schema is correct","","Mon May 12 03:04:16 GMT 2025","passed","Mon May 12 03:04:16 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
