"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","67","Verify status code returned is expected","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","73","Verify there is a user with a given zipcode","","Mon Feb 24 02:41:54 GMT 2025","passed","Mon Feb 24 02:41:54 GMT 2025","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","88","Verify amount of returned items is expected","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","73","Verify status code returned is expected","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","103","Verify response schema is correct","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","74","Verify response schema is correct","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","124","Verify response schema is correct","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","381","Verify specific user is returned in the users response","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:54 GMT 2025","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","83","Verify specific user is returned in the users response","","Mon Feb 24 02:41:54 GMT 2025","passed","Mon Feb 24 02:41:54 GMT 2025","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","54","Verify amount of returned items is expected","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","92","Verify amount of returned items is expected","","Mon Feb 24 02:41:53 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1114","Verify status code returned is expected","","Mon Feb 24 02:41:52 GMT 2025","passed","Mon Feb 24 02:41:53 GMT 2025","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","67","Verify there is a user with a given zipcode","","Mon Feb 24 02:41:54 GMT 2025","passed","Mon Feb 24 02:41:54 GMT 2025","","Users Endpoint","Verify there is a user with a given zipcode",""
